Task,Task Label,Positional Encoding,Encoding Label,Seed,Train Length,Test Length,Token Accuracy (%),Token Error (%),Exact-Match Accuracy (%),Exact-Match Error (%),Checkpoint,Diagnostic Scope
addition,Addition,sinusoidal,Sinusoidal,42,16,128,10.380579775525602,89.6194202244744,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/addition_train16_sinusoidal_seed42.pt,Representative seed-42 checkpoint
addition,Addition,sinusoidal,Sinusoidal,42,16,256,10.282041988674672,89.71795801132532,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/addition_train16_sinusoidal_seed42.pt,Representative seed-42 checkpoint
addition,Addition,sinusoidal,Sinusoidal,42,16,512,10.142119997268798,89.8578800027312,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/addition_train16_sinusoidal_seed42.pt,Representative seed-42 checkpoint
addition,Addition,sinusoidal,Sinusoidal,42,16,1024,9.995217692585472,90.00478230741453,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/addition_train16_sinusoidal_seed42.pt,Representative seed-42 checkpoint
copy,Delayed Copy,sinusoidal,Sinusoidal,42,128,128,99.9984375,0.0015625000000056843,99.8,0.20000000000000284,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/copy_train128_sinusoidal_seed42.pt,Representative seed-42 checkpoint
copy,Delayed Copy,sinusoidal,Sinusoidal,42,128,256,1.001953125,98.998046875,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/copy_train128_sinusoidal_seed42.pt,Representative seed-42 checkpoint
copy,Delayed Copy,sinusoidal,Sinusoidal,42,128,512,1.0724609375,98.9275390625,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/copy_train128_sinusoidal_seed42.pt,Representative seed-42 checkpoint
copy,Delayed Copy,sinusoidal,Sinusoidal,42,128,1024,0.9919921875,99.0080078125,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/copy_train128_sinusoidal_seed42.pt,Representative seed-42 checkpoint
copy,Delayed Copy,rope,RoPE,42,128,128,100.0,0.0,100.0,0.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/copy_train128_rope_seed42.pt,Representative seed-42 checkpoint
copy,Delayed Copy,rope,RoPE,42,128,256,1.035546875,98.964453125,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/copy_train128_rope_seed42.pt,Representative seed-42 checkpoint
copy,Delayed Copy,rope,RoPE,42,128,512,0.99375,99.00625,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/copy_train128_rope_seed42.pt,Representative seed-42 checkpoint
copy,Delayed Copy,rope,RoPE,42,128,1024,0.99072265625,99.00927734375,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/copy_train128_rope_seed42.pt,Representative seed-42 checkpoint
reverse,Reverse,learned,Learned,42,128,128,100.0,0.0,100.0,0.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/reverse_train128_learned_seed42.pt,Representative seed-42 checkpoint
reverse,Reverse,learned,Learned,42,128,256,1.21328125,98.78671875,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/reverse_train128_learned_seed42.pt,Representative seed-42 checkpoint
reverse,Reverse,learned,Learned,42,128,512,1.12734375,98.87265625,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/reverse_train128_learned_seed42.pt,Representative seed-42 checkpoint
reverse,Reverse,learned,Learned,42,128,1024,1.0849609375,98.9150390625,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/reverse_train128_learned_seed42.pt,Representative seed-42 checkpoint
