Task,Train Length,Test Length,Positional Encoding,Seed,Layer,Attention_Entropy_Mean,Attention_Entropy_Std,Attention_Entropy_SE,Normalised_Entropy_Mean,Normalised_Entropy_Std,Normalised_Entropy_SE,Average_Distance_Mean,Average_Distance_Std,Average_Distance_SE,Local_Ratio_Mean,Local_Ratio_Std,Local_Ratio_SE,Task Label,Encoding Label
copy,128,256,rope,42,1,0.991947865486145,0.028986245516536096,0.012963043077494645,0.1589589771506326,0.00464502631545816,0.0020773189197279642,158.05140991210936,0.6332672525337731,0.283205724918007,0.012540476955473358,0.0002729701567381435,0.00012207596525905213,Delayed Copy,RoPE
copy,128,256,sinusoidal,42,0,3.3936667442321777,0.034840092116992114,0.01558096286318978,0.5438328093875004,0.00558310128933712,0.002496838801644894,181.5774383544922,2.5576499390070824,1.1438158252536064,0.03393856212496754,0.0015122040615068132,0.0006762782154761016,Delayed Copy,Sinusoidal
copy,128,256,sinusoidal,42,1,4.427415943145752,0.3051988550995174,0.13648907733152585,0.7094904220575513,0.0489079109116154,0.021872282687175146,202.69552307128907,7.086164633087322,3.1690291638676182,0.02926619984209534,0.0009720395256385238,0.0004347092912288774,Delayed Copy,Sinusoidal
copy,128,1024,rope,42,0,7.599882698059082,0.0002557444429197418,0.00011437239184729678,0.9966919218721216,3.3539783500452694e-05,1.4999447171517058e-05,676.7963012695312,0.1957710395732126,0.0875514705023043,0.010321784950792761,1.9177528081098645e-05,8.576451285949583e-06,Delayed Copy,RoPE
copy,128,1024,rope,42,1,2.1328583717346192,0.00711008296677929,0.0031797257678763805,0.2797152000975128,0.0009324567941870219,0.0004170073555767366,1094.59501953125,2.8859880185830193,1.2906530783603136,0.00035192653886036,1.1694265070300746e-05,5.2298343288187805e-06,Delayed Copy,RoPE
copy,128,1024,sinusoidal,42,0,4.29624490737915,0.04517652329386391,0.020203555414436497,0.5634340375625297,0.005924706684849407,0.002649609378814136,877.7892700195313,2.1243083953881867,0.9500195954522914,0.00583930555731052,0.0002925676889622515,0.00013084024810792175,Delayed Copy,Sinusoidal
copy,128,1024,sinusoidal,42,1,5.313875198364258,0.14593073865918715,0.06526221032973979,0.6968918724757269,0.01913818859488312,0.008558858132873956,652.6535400390625,5.782371661977021,2.585955221469811,0.00780611867085094,0.0003003699975566572,0.00013432954658762608,Delayed Copy,Sinusoidal
reverse,128,128,learned,42,0,0.4115235090255737,0.02485296161611877,0.01111458232316691,0.08481470366863139,0.005122177782139748,0.002290707542740716,62.70691909790039,0.045039501122782835,0.020142277236643965,0.08139070570468898,0.0012679123567095377,0.000567027643822898,Reverse,Learned
reverse,128,128,learned,42,1,4.817373275756836,0.0005272151284973925,0.0002357777732172912,0.9928572192922012,0.00010865866448067627,4.859363202460922e-05,42.681967163085936,0.02367862726486891,0.010589404035625636,0.1570478796958923,0.0006318796009424118,0.0002825851482605368,Reverse,Learned
reverse,128,256,learned,42,0,2.5951282501220705,0.014174489941300654,0.006339024611027035,0.4679973321152455,0.0025561832931806235,0.0011431599213002292,82.66273803710938,0.17908447682286305,0.0800890127781813,0.06585687994956965,0.0008930395699867533,0.0003993794370175118,Reverse,Learned
reverse,128,256,learned,42,1,5.5146442413330075,0.0036780509788425287,0.0016448744026803484,0.9944937374047512,0.0006632882384141194,0.0002966315179540126,85.93942565917969,0.29615327932894026,0.1324437728677983,0.0791943341493606,0.0006699646160670422,0.000299617284809091,Reverse,Learned
reverse,128,1024,learned,42,0,5.7081419944763185,0.010197125667373906,0.0045602932334712016,0.8235108148121022,0.0014711342631642072,0.0006579112432928565,318.62782592773436,0.24067257307936402,0.10763204674504781,0.02472713999450204,0.0003536157672352025,0.00015814177869073086,Reverse,Learned
reverse,128,1024,learned,42,1,6.911775779724121,0.0033287196620240813,0.001488648688465205,0.9971584641144438,0.0004802327348911618,0.0002147666080474441,344.4604187011719,1.3660358776252521,0.6109098164147312,0.020081198588013622,0.00012026508601587137,5.378418153026957e-05,Reverse,Learned
